"station","POSIXtime","parsivelStatus","precipCode","parsivelR","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","class31","class32"
"Payerne MCH Roof",2014-04-08 05:52:30,0,0,1.502,0,0,10.8115803803136,46.0851147439272,159.709252578472,97.9699583989053,102.51826415306,165.077844815047,103.452769986418,78.2790167804981,17.3723080949212,17.640504119754,2.8925201323745,4.71666424121906,2.03458102272828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:53:00,0,0,1.348,0,0,10.0075131775907,33.9661766778154,175.588992126941,91.4866824477147,145.757000691048,213.680267545061,165.852853470289,66.0479204085453,30.6121125975657,17.640504119754,2.8925201323745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:53:30,0,0,1.575,0,0,3.67039953351919,53.4875607876894,153.713372620729,180.30086857177,206.939842976306,126.577261200036,83.7474804651957,108.449054497981,22.5050354866025,10.4820386798539,5.44474377858729,2.35833212060953,0,0.698151295059879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:54:00,0,0,1.368,0,0,8.97638061355394,37.3169152241635,222.186567883627,243.328712896313,224.049619005137,144.408968103707,74.7158894346354,46.4781662134208,22.5050354866025,14.8282498397932,2.8925201323745,2.35833212060953,2.03458102272828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:54:30,0,0,2.254,0,0,13.4860938497249,96.0001529221378,191.104086495643,180.433852534636,119.419690728645,257.251321797182,194.197117839307,98.2613986089084,24.1520259136933,20.6772409961354,18.0406100612658,6.25835517913037,2.43498620901929,1.12739106618339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:55:00,0,0,2.185,0,0,18.6297738804785,59.3899740672874,237.573320676883,144.52143415619,193.765952828462,106.940503287512,143.886983684046,89.2373926142128,28.4694227647216,20.6772409961354,28.4404911554073,5.86720798043472,0,1.12739106618339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:55:30,0,0,1.97,0,0,7.63056745126358,72.0610949929515,135.684132128274,123.813062217993,137.389019195472,120.248398140034,73.0737819745335,101.11039667481,54.4858753886166,15.3395687997861,5.785040264749,7.07499636182859,0,0.698151295059879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:56:00,0,0,1.96,0,0,20.2216229090627,38.4633622516467,181.307704144857,159.138934358714,167.928911838479,106.506110444364,73.0737819745335,30.1700377174837,31.1911895340631,18.1518230797469,11.2297840433363,4.71666424121906,2.03458102272828,0.698151295059879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:56:30,0,0,1.662,0,0,3.10572268220854,43.7803488594232,110.051641053092,188.414092247927,102.375866532845,103.371429980029,51.7263849932091,28.5392248678899,17.3723080949212,32.4687539595472,14.4626006618725,5.031108523967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:57:00,0,0,1.315,0,0,5.79536768450398,38.9830677095497,219.997297154515,73.5277646299252,89.8007527477356,129.741692730037,117.410683397285,39.1395083902491,35.5342665577935,20.9640773597076,0,4.71666424121906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
